as_of,last_modelled_week,information_lag_weeks,alfred_raw,latest_raw,alfred_official,latest_official,alfred_status,alfred_alert,latest_alert,level_difference,momentum_difference,breadth_difference,concentration_difference,usrec,raw_recovery_difference,raw_expansion_difference,raw_slowdown_difference,raw_contraction_difference,raw_agrees,official_agrees,alert_agrees,disagreement_cause
2019-11-15,2019-11-15,0,slowdown,slowdown,slowdown,slowdown,official,elevated,high,0.29486899390367544,0.6428196741435754,-2,0.18579735406737735,0,0.013598697826299421,0.013851424706903624,0.3561912856511379,-0.38364140818434095,True,True,False,
2019-11-22,2019-11-22,0,slowdown,contraction,slowdown,slowdown,official,elevated,high,0.25725376660910104,0.06485058611062477,-2,0.13172553523316183,0,0.005342797848911089,0.006244183518016289,0.5604993302565453,-0.5720863116234728,False,True,False,
2019-11-29,2019-11-29,0,slowdown,contraction,slowdown,contraction,official,high,high,0.2600218694950965,-0.34207654954878164,-2,0.14427632447195538,0,-0.0018724092667542908,0.0006395479661634312,0.6505560730315976,-0.6493232117310066,False,False,True,data_revision
2019-12-06,2019-12-06,0,slowdown,contraction,slowdown,contraction,official,high,high,0.41261928204105985,-0.054270651780052415,-2,0.055260511706596405,0,0.0050472216816867255,0.006284081933254413,0.7424674910863437,-0.7537987947012849,False,False,True,data_revision
2019-12-13,2019-12-13,0,slowdown,contraction,slowdown,contraction,official,high,high,0.3876362500849443,-0.22844045084644193,-2,0.09407725861302108,0,-0.0008562441840363026,0.001900857180547601,0.48065318077997143,-0.4816977937764829,False,False,True,data_revision
2019-12-20,2019-12-20,0,slowdown,contraction,slowdown,contraction,official,high,high,0.4773596808762238,-0.2790878950088034,-2,0.16357571360116496,0,-0.01160327418464037,0.00664097381601254,0.44738717095189184,-0.442424870583264,False,False,True,data_revision
2019-12-27,2019-12-27,0,contraction,contraction,slowdown,contraction,official,high,high,0.39724120291606657,-0.28101648982764593,-2,0.17073449456910217,0,-0.02222400683407971,0.00020772310346375486,0.18672333250030604,-0.1647070487696901,True,False,True,filter_path_dependence
2020-01-03,2020-01-03,0,contraction,contraction,slowdown,contraction,official,high,high,0.37224349822295144,-0.0021621520403987127,-2,0.1564570593982133,0,-0.0018401097949234599,0.003128904995629694,0.11572031148315781,-0.117009106683864,True,False,True,filter_path_dependence
2020-01-10,2020-01-10,0,contraction,contraction,slowdown,contraction,official,high,high,0.45291260625843655,-0.06064707761673649,-2,0.14711762570611386,0,-0.005913575101042342,0.0032294968670053587,0.15932586584746977,-0.15664178761343284,True,False,True,filter_path_dependence
2020-01-17,2020-01-17,0,slowdown,contraction,contraction,contraction,official,high,high,0.6369073711103701,1.4580676661640128,-2,0.2051665926646532,0,0.1473932797026469,0.06176062793272453,0.30351087663981213,-0.5126647842751837,False,True,True,
2020-01-24,2020-01-24,0,slowdown,contraction,contraction,contraction,official,high,high,0.669083957083958,1.4017775879022998,-2,0.1893318194695961,0,0.17661204366225808,0.08239593595816587,0.3971227034652086,-0.6561306830856325,False,True,True,
2020-01-31,2020-01-31,0,slowdown,contraction,slowdown,contraction,official,high,high,0.4363429145758836,0.6806968142339581,-2,0.32161764399918125,0,0.22677895713423568,0.11476178360761555,0.4745616769425307,-0.816102417684382,False,False,True,data_revision
2020-02-07,2020-02-07,0,slowdown,contraction,slowdown,contraction,official,none,high,0.41810166231483753,0.6828519912072603,-2,0.3403246783149499,0,0.15459418873240477,0.29908943525794757,0.23607814681094227,-0.6897617708012946,False,False,False,data_revision
2020-02-14,2020-02-14,0,slowdown,slowdown,slowdown,contraction,official,watch,watch,0.3138968314178777,-0.0663906287443588,-2,0.3138293394137568,0,-0.0009359298132299021,-0.016437721421564827,0.04962063313068188,-0.03224698189588726,True,False,True,filter_path_dependence
2020-02-21,2020-02-21,0,slowdown,slowdown,slowdown,contraction,official,none,none,0.3512973623370754,0.1373617839923357,-2,0.31446753376679853,0,0.00061990757249758,0.06444802243214642,-0.06506800019172582,7.018708172349861e-08,True,False,True,filter_path_dependence
2020-02-28,2020-02-28,0,slowdown,slowdown,contraction,slowdown,official,watch,none,0.2964015523158796,-0.16500229794896037,-2,0.2892724531347622,0,-0.018315501716471977,-0.08912419290585871,0.1074397001730455,-5.550714723940891e-09,True,False,False,filter_path_dependence
2020-03-06,2020-03-06,0,slowdown,expansion,slowdown,slowdown,official,watch,none,0.24166488315695056,-0.6669892408630398,-2,0.30535602937381023,1,-0.008064144572357795,-0.3319697383322123,0.27735399039670683,0.06267989250786325,False,True,False,
2020-03-13,2020-03-13,0,contraction,contraction,slowdown,slowdown,official,high,high,0.34362362536417956,0.021612214825040832,-2,0.30177383784061734,1,0.0047151519173891515,0.011078954839502992,0.13057189575274109,-0.14636600250963328,True,True,True,
2020-03-20,2020-03-20,0,contraction,contraction,slowdown,contraction,official,high,high,1.2156985246820957,0.8365684394514881,-1,0.37831531425586223,1,0.02045805234042877,0.004259061545928435,0.16071813316756395,-0.18543524705392123,True,False,True,filter_path_dependence
2020-03-27,2020-03-27,0,contraction,contraction,slowdown,contraction,official,high,high,1.2878157614357817,1.5706197491343856,-2,0.20959188322052957,1,0.07544935890341499,0.015297240367428366,0.170911476720991,-0.2616580759918343,True,False,True,filter_path_dependence
2020-04-03,2020-04-03,0,contraction,contraction,contraction,contraction,official,high,high,1.5720636537184447,1.9452558055367608,-3,0.19879011472505637,1,0.00822574672575025,0.001549361287773823,0.18655547733456226,-0.19633058534808634,True,True,True,
2020-04-10,2020-04-10,0,contraction,contraction,contraction,contraction,official,high,high,2.2788483799826835,1.9452681059496106,-4,0.3114462391638907,1,0.008227330499128946,0.0015505279526339495,0.19381859432553378,-0.20359645277729688,True,True,True,
2020-04-17,2020-04-17,0,contraction,contraction,contraction,contraction,official,high,high,0.9941700969329186,0.8880893593242867,-2,0.2780965477287848,1,0.0005443966582931663,6.377499909025543e-06,0.011766545310653827,-0.012317319468855947,True,True,True,
2020-04-24,2020-04-24,0,contraction,contraction,contraction,contraction,official,high,high,1.005292925933409,0.8880893593242867,-2,0.28877885976433937,1,0.0005442162239303799,6.535081599365269e-06,0.012065342047769838,-0.012616093353299607,True,True,True,
2020-05-01,2020-05-01,0,contraction,contraction,contraction,contraction,official,high,high,1.1698092565950313,0.0,-1,0.3100301008369155,0,2.833036430660983e-06,4.681500538025324e-08,0.005377057121481896,-0.0053799369729179425,True,True,True,
2020-05-08,2020-05-08,0,contraction,contraction,contraction,contraction,official,high,high,0.40707120617861703,0.0,0,0.17359102722290087,0,-3.4869426963230756e-08,2.6824396191932884e-14,0.0006828712577672942,-0.0006828363883671917,True,True,True,
2020-05-15,2020-05-15,0,contraction,contraction,contraction,contraction,official,high,high,0.36706717545818535,0.0,0,0.05077716478650668,0,-3.0067522163653186e-08,2.3130380900387895e-14,0.000588832351603771,-0.0005888022841047391,True,True,True,
2020-05-22,2020-05-22,0,contraction,contraction,contraction,contraction,official,high,high,0.36706717545818535,0.0,0,-0.019567744831442635,0,-1.4069375165902051e-06,1.4069375165902572e-06,0.0005874558854232326,-0.0005874558854231937,True,True,True,
2020-05-29,2020-05-29,0,contraction,contraction,contraction,contraction,official,high,high,-0.06825510660138523,0.0,0,-0.09569333839626876,0,1.903821203589652e-07,-1.9038212035922165e-07,-7.949258283724517e-05,7.949258283723726e-05,True,True,True,
2020-06-05,2020-06-05,0,contraction,contraction,contraction,contraction,official,high,high,-0.06825510660138523,0.0,0,-0.07228526332179708,0,1.903821203589652e-07,-1.9038212035922165e-07,-7.949258283724517e-05,7.949258283723726e-05,True,True,True,
2020-06-12,2020-06-12,0,contraction,contraction,contraction,contraction,official,high,high,-0.30627426817163306,-1.5018800000000003,0,-0.0938435115581377,0,-0.11108411146681046,-0.00010520908983561775,-0.00034630931350204523,0.1115356298701482,True,True,True,
2020-06-19,2020-06-19,0,contraction,expansion,contraction,contraction,official,high,none,-0.7793521010330022,-3.0037600000000007,0,-0.14365967897786924,0,-0.2659220477697569,-0.618425778875262,-0.0015047762622233912,0.8858526029072424,False,True,False,
2020-06-26,2020-06-26,0,contraction,expansion,contraction,contraction,official,high,none,-0.8551057649492457,-4.5056400000000005,0,-0.1813554858416851,0,-0.4635364656646187,-0.5322918078584549,-0.0012342574421273502,0.9970625309652009,False,True,False,
