as_of,future_observations,last_modelled_week,raw_phase,official_phase,phase_status,activity_level,activity_momentum,negative_level_domains,negative_momentum_domains,positive_momentum_domains,confirming_domains,concentration,dominant_domain,labor_stress_level,labor_stress_momentum,recession_alert,recession_alert_character,evidence_quality_high,phase_separation,confirmation_pending,filtered_winner,contraction_evidence,alert_evidence,information_lag_weeks,weeks_since_any_new_observation,fresh_coincident_domains,stale_domains,carried_forward_domains,withheld,raw_recovery,filtered_recovery,raw_expansion,filtered_expansion,raw_slowdown,filtered_slowdown,raw_contraction,filtered_contraction,age_production,arrived_production,age_employment,arrived_employment,age_real_income,arrived_real_income,age_consumption,arrived_consumption,age_labor_stress,arrived_labor_stress,latest_observation_PAYEMS,latest_observation_W875RX1,latest_observation_INDPRO,latest_observation_CMRMTSPL,latest_observation_RRSFS,latest_observation_ICSA,latest_observation_CCSA
2013-08-23,0,2013-08-23,expansion,slowdown,official,0.5144620973025601,-0.005038119558453058,0,0,0,0,0.4190183951558441,labor_stress,1.0778454119011422,0.19527538562995173,none,absent,False,0.04889241633252278,1,expansion,0.0,0.0,0,0,4,,4,0,0.14254866022902982,0.03816113491961435,0.45588146423637155,0.5053655393824288,0.4015689349983389,0.456473123049906,9.405362597807352e-07,2.0264805081774318e-07,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2013-07-01,2013-06-01,2013-07-01,2013-05-01,2013-07-01,2013-08-17,2013-08-10
2013-08-30,0,2013-08-30,slowdown,slowdown,official,0.47057025151798565,-0.10831250430057873,0,1,0,1,0.44389216042059243,labor_stress,1.044412227879901,0.09262206877010565,none,absent,False,0.3969384896028166,0,slowdown,0.0,0.004239797189912149,0,0,4,,4,0,0.13594952338912836,0.025769123520932205,0.3724607510179151,0.2886460742299239,0.49158878587642213,0.6855845638327405,9.397165344536281e-07,2.3841640343779418e-07,6.0,0,7.0,0,4.0,0,6.0,0,0.0,1,2013-07-01,2013-07-01,2013-07-01,2013-06-01,2013-07-01,2013-08-24,2013-08-17
2013-09-06,0,2013-09-06,slowdown,slowdown,official,0.4751940928215955,-0.06432667227120227,0,1,0,1,0.45640717710898915,labor_stress,1.0844099724178569,0.4990671714994705,none,absent,False,0.4108239006335801,0,slowdown,0.0,0.0021589921279869233,0,0,4,,4,0,0.14234025450174917,0.02480773382371582,0.3935707616048829,0.28218405618737885,0.46408804373096885,0.693007956820959,9.401623990002159e-07,2.531679463495976e-07,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2013-08-01,2013-07-01,2013-07-01,2013-06-01,2013-07-01,2013-08-31,2013-08-24
2013-09-13,0,2013-09-13,expansion,slowdown,official,0.5012029358815095,0.023596971063578897,0,1,0,1,0.47458491390795177,labor_stress,1.1893167608786945,0.8296659216805092,none,absent,False,0.21714288428845313,0,slowdown,0.0,0.0,0,0,4,,4,0,0.15031612164183492,0.03163488921999526,0.43768020738696917,0.37561098955781186,0.4120027302523416,0.592753873846265,9.407188543295658e-07,2.473759279811127e-07,8.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2013-08-01,2013-07-01,2013-07-01,2013-06-01,2013-07-01,2013-09-07,2013-08-31
2013-09-20,0,2013-09-20,expansion,slowdown,official,0.5332062580671894,0.0751620069108084,0,1,0,1,0.4982104945945413,labor_stress,1.328244767762795,1.3055590687527472,none,absent,True,0.1404437196201644,0,slowdown,0.0,0.0,0,0,4,,4,0,0.15009423277836162,0.032241378509455194,0.46574402464599285,0.4136573269214096,0.38416080187227175,0.554101046541574,9.407033737255845e-07,2.480275611744848e-07,4.0,0,6.0,0,7.0,0,4.0,0,0.0,1,2013-08-01,2013-07-01,2013-08-01,2013-06-01,2013-08-01,2013-09-14,2013-09-07
2013-09-27,0,2013-09-27,expansion,expansion,official,0.5693446159822104,0.23270652675787282,0,0,0,0,0.5072704385378078,labor_stress,1.4440584651421782,1.5627426366037835,none,absent,True,0.464063178515962,0,expansion,0.0,0.0,0,0,4,,4,0,0.16548740000204892,0.05180835864053299,0.5517602186914252,0.7061273275589669,0.28275141980238644,0.24206414904300486,9.61504139517389e-07,1.6475749538539768e-07,5.0,0,7.0,0,4.0,0,5.0,0,0.0,1,2013-08-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-09-21,2013-09-14
2013-10-04,0,2013-10-04,expansion,expansion,official,0.5747161181353829,0.21044400962414764,0,0,0,0,0.5106918258981453,labor_stress,1.4675141187182643,1.4542484346359332,none,absent,True,0.5489486925347185,0,expansion,0.0,0.0,0,0,4,,4,0,0.16133551208629032,0.05376209931972588,0.5436923532771378,0.7475932285865866,0.29497117256955846,0.19864453605186821,9.620670132857444e-07,1.3604181933853173e-07,6.0,0,8.0,0,5.0,0,6.0,0,0.0,1,2013-08-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-09-28,2013-09-21
2013-10-11,0,2013-10-04,expansion,expansion,preliminary,0.5749353632601512,0.2111527315920906,0,0,0,0,0.5108784180588235,labor_stress,1.4686103443421055,1.457792044475648,none,absent,True,0.5495199817609242,0,expansion,0.0,0.0,1,1,3,employment,5,0,0.16136290109956603,0.053759304107970744,0.5440217266378448,0.7478802708222729,0.2946144102185554,0.19836028906134875,9.620440337719306e-07,1.360084075787981e-07,6.0,0,8.0,0,5.0,0,6.0,0,0.0,1,2013-08-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-10-05,2013-09-28
2013-10-18,0,2013-10-04,expansion,expansion,preliminary,0.5749353632601512,0.2111527315920906,0,0,0,0,0.5108784180588235,labor_stress,1.4686103443421055,1.457792044475648,none,absent,True,0.5495199817609242,0,expansion,0.0,0.0,2,2,3,employment,5,0,0.16136290109956603,0.053759304107970744,0.5440217266378448,0.7478802708222729,0.2946144102185554,0.19836028906134875,9.620440337719306e-07,1.360084075787981e-07,6.0,0,8.0,0,5.0,0,6.0,0,0.0,1,2013-08-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-10-12,2013-10-05
2013-10-25,0,2013-10-18,slowdown,expansion,preliminary,0.47561987123927274,-0.1298527813543115,0,0,0,0,0.40592399661882306,labor_stress,0.965327595023878,-0.4201725697952971,none,absent,False,0.21678037958867852,0,expansion,0.0,0.09432848448525563,1,1,2,consumption|production,5,0,0.1359109681947349,0.05235809521721983,0.3761120226989716,0.5822110646100963,0.4879760353476409,0.3654306850214178,9.73758652564675e-07,1.551512659768965e-07,8.0,0,5.0,0,7.0,0,8.0,0,0.0,1,2013-09-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-10-19,2013-10-12
2013-11-01,0,2013-11-01,slowdown,expansion,preliminary,0.43580000468676705,-0.17145618774981292,0,0,1,0,0.33126636957203437,labor_stress,0.7218294270603044,-1.2117100872247935,none,absent,False,0.022928245677164782,0,expansion,0.0,0.16390737966661514,0,0,3,real_income,4,0,0.14681836541848883,0.055083933744864845,0.34918358421291357,0.4839220644339345,0.5039970849743503,0.4609938187567697,9.653942474221664e-07,1.8306443086373467e-07,6.0,0,7.0,0,9.0,0,6.0,0,0.0,1,2013-09-01,2013-08-01,2013-09-01,2013-06-01,2013-09-01,2013-10-26,2013-10-19
2013-11-08,0,2013-11-08,slowdown,expansion,official,0.47683809080600864,-0.057865634749186066,0,0,2,0,0.34314548792247124,labor_stress,0.8181241966482373,-1.264944976243499,none,absent,False,0.20229386765761836,0,expansion,0.0,0.151827313489771,0,0,4,,4,0,0.1662577076702449,0.06638962290559985,0.40104996145048327,0.5679520362920272,0.43269138054623996,0.3656581686344088,9.503330318413413e-07,1.7216796413649826e-07,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2013-10-01,2013-09-01,2013-09-01,2013-06-01,2013-09-01,2013-11-02,2013-10-26
2013-11-15,0,2013-11-15,slowdown,expansion,official,0.4747363497109006,-0.21969198561012412,0,0,1,0,0.3607420972457975,labor_stress,0.8562869321676232,-1.5391677666647694,none,absent,False,0.2970263955999462,2,slowdown,0.0,0.1574948918413974,0,0,4,,4,0,0.12875387664482574,0.034512910998175925,0.330865678980707,0.33423023872311036,0.5403794764419159,0.6312566343230566,9.679325514424116e-07,2.1595565717336912e-07,4.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2013-10-01,2013-09-01,2013-10-01,2013-06-01,2013-09-01,2013-11-09,2013-11-02
2013-11-22,0,2013-11-22,slowdown,expansion,official,0.49556343341324877,-0.21234815463685175,0,0,1,0,0.37130185630518514,labor_stress,0.9200181137165514,-1.6949096744590262,none,absent,False,0.3325519600740311,2,slowdown,0.0,0.1519060920374909,0,0,4,,4,0,0.1254503467855877,0.030809141774472342,0.3360048554248174,0.3183193389443475,0.5385438299851116,0.6508712990183786,9.678044832040932e-07,2.2026280158328466e-07,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2013-10-01,2013-09-01,2013-10-01,2013-08-01,2013-10-01,2013-11-16,2013-11-09
2013-11-29,0,2013-11-29,slowdown,slowdown,official,0.515825589175354,-0.17103706999559137,0,0,1,0,0.39412356311773633,labor_stress,1.0164950957654808,-1.4904403919347777,none,absent,True,0.392818128993609,0,slowdown,0.0,0.15,0,0,4,,4,0,0.12805811301943099,0.026274314621933928,0.357088038588936,0.2904536603366933,0.514852882240005,0.6832717893303023,9.661516279222068e-07,2.357110703804003e-07,6.0,0,7.0,0,8.0,0,6.0,0,0.0,1,2013-10-01,2013-09-01,2013-10-01,2013-08-01,2013-10-01,2013-11-23,2013-11-16
2013-12-06,0,2013-12-06,expansion,slowdown,official,0.5414877631459033,0.01727552970045846,0,0,0,0,0.42834223691531387,labor_stress,1.1597103986409294,-0.035915349451750934,none,absent,True,0.39613589127207827,0,slowdown,0.0,0.007696146311089487,0,0,4,,4,0,0.14363861206818807,0.021582553385964365,0.453111211813394,0.29114063097808307,0.40324920773179634,0.6872765222501613,9.683866214868624e-07,2.933857912112231e-07,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2013-11-01,2013-10-01,2013-10-01,2013-09-01,2013-10-01,2013-11-30,2013-11-23
2013-12-13,0,2013-12-13,expansion,slowdown,official,0.527238406227801,0.11096513434132745,0,0,0,0,0.4035101361792204,labor_stress,1.0637302054794757,0.30953813769406585,none,absent,False,0.06583108815588123,0,slowdown,0.0,0.0,0,0,4,,4,0,0.16095262541208527,0.034644957213987845,0.49354716043648983,0.44976184611119385,0.34549924858591335,0.5155929342670751,9.65565511613338e-07,2.6240774328786933e-07,8.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2013-11-01,2013-10-01,2013-10-01,2013-09-01,2013-10-01,2013-12-07,2013-11-30
2013-12-20,0,2013-12-20,expansion,expansion,official,0.5278967521902158,0.2899224435525089,0,0,2,0,0.3266894905010701,labor_stress,0.8622916050509564,0.14868579239052024,none,absent,True,0.656161977202316,0,expansion,0.0,0.0,0,0,4,,4,0,0.18798465459343147,0.06300329812277247,0.574383987838685,0.7965792814726923,0.2376304456036544,0.14041730427037635,9.119642289881095e-07,1.1613415893585314e-07,4.0,0,6.0,0,7.0,0,4.0,0,0.0,1,2013-11-01,2013-10-01,2013-11-01,2013-09-01,2013-11-01,2013-12-14,2013-12-07
2013-12-27,0,2013-12-27,expansion,expansion,official,0.5105687596377667,0.25468061517384977,0,0,2,0,0.2956215639408258,labor_stress,0.7546756761172208,0.15184806773916065,none,absent,True,0.6626399102073024,0,expansion,0.0,0.0,0,0,4,,4,0,0.18908174215155915,0.06677389958891461,0.5581724341240245,0.7979329504923309,0.25274490972217994,0.13529304028502856,9.140022364421957e-07,1.0963372588579457e-07,5.0,0,7.0,0,4.0,0,5.0,0,0.0,1,2013-11-01,2013-11-01,2013-11-01,2013-09-01,2013-11-01,2013-12-21,2013-12-14
2014-01-03,0,2014-01-03,expansion,expansion,official,0.48233270509771664,0.1030876688403863,0,0,2,0,0.2543747213788153,labor_stress,0.6134662373556097,-0.6056632459556912,none,absent,False,0.591109279968965,0,expansion,0.0,0.12978498127621954,0,0,4,,4,0,0.17685359157137842,0.06892255543948497,0.49357530619869366,0.7610933067101614,0.3295701789488616,0.16998402674119645,9.23281066286116e-07,1.1110915721555189e-07,6.0,0,8.0,0,5.0,0,6.0,0,0.0,1,2013-11-01,2013-11-01,2013-11-01,2013-09-01,2013-11-01,2013-12-28,2013-12-21
2014-01-10,0,2014-01-10,expansion,expansion,official,0.4936772461229242,0.058949103960201074,0,0,2,0,0.27756619390290493,labor_stress,0.6851405711140385,-0.5698376464254207,none,absent,False,0.47420710826932505,0,expansion,0.0,0.12210806709116158,0,0,4,,4,0,0.16697911558027245,0.06393716524824544,0.4766467864863166,0.70513490519159,0.3563731717553628,0.2309277969222649,9.261780481073173e-07,1.3263789986776345e-07,7.0,0,4.0,0,6.0,0,7.0,0,0.0,1,2013-12-01,2013-11-01,2013-11-01,2013-09-01,2013-11-01,2014-01-04,2013-12-28
2014-01-17,0,2014-01-17,expansion,expansion,official,0.5117161490804337,0.016175045127999943,0,0,1,0,0.3143089258397321,labor_stress,0.8041847657615766,-0.3586069845021747,none,absent,True,0.2944277597091375,0,expansion,0.0,0.07684435382189458,0,0,4,,4,0,0.1463231661790135,0.04880758819822618,0.46540496225038125,0.6228100050802042,0.3882709322765397,0.32838224537106675,9.392940656297977e-07,1.613505028529745e-07,4.0,0,5.0,0,7.0,0,4.0,0,0.0,1,2013-12-01,2013-11-01,2013-12-01,2013-09-01,2013-12-01,2014-01-11,2014-01-04
2014-01-24,0,2014-01-24,expansion,expansion,official,0.5116576157443308,-0.04316002395660523,0,0,1,0,0.31423048317637364,labor_stress,0.8038920990810619,-0.6584740055242413,none,absent,True,0.22151339732264463,0,expansion,0.0,0.14110157261233744,0,0,4,,4,0,0.13756794010319162,0.04542512814778536,0.43750660683526194,0.5880440525754124,0.4249245101285686,0.36653065525276773,9.429329779145966e-07,1.6402403443887461e-07,5.0,0,6.0,0,8.0,0,5.0,0,0.0,1,2013-12-01,2013-11-01,2013-12-01,2013-09-01,2013-12-01,2014-01-18,2014-01-11
2014-01-31,0,2014-01-31,slowdown,expansion,official,0.500875802122799,-0.09481544690230093,0,0,2,0,0.29587696082649106,labor_stress,0.7409880504181234,-1.2923188586826058,none,absent,False,0.32441540785207784,0,expansion,0.0,0.1502431067244822,0,0,4,,4,0,0.128749564090142,0.046238237378420324,0.42691585820083605,0.6390885165566316,0.44433365612306025,0.31467310870455373,9.215859616016398e-07,1.3736039438259473e-07,6.0,0,7.0,0,4.0,0,6.0,0,0.0,1,2013-12-01,2013-12-01,2013-12-01,2013-11-01,2013-12-01,2014-01-25,2014-01-18
2014-02-07,0,2014-02-07,slowdown,expansion,official,0.4937667053189161,-0.13330329231919152,0,1,2,1,0.2843660998746524,labor_stress,0.7020525611974847,-1.1246117020254167,none,absent,False,0.13617215258103121,2,slowdown,0.0,0.15148566357987858,0,0,4,,4,0,0.12336260461133096,0.03290116077300783,0.3786201709970914,0.41546324689685044,0.4980163085230571,0.5516353994778816,9.158685205857608e-07,1.9285226017293986e-07,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2014-01-01,2013-12-01,2013-12-01,2013-11-01,2013-12-01,2014-02-01,2014-01-25
2014-02-14,0,2014-02-14,slowdown,slowdown,official,0.44751376080585975,-0.36887002054374574,0,2,0,2,0.3012801557016542,labor_stress,0.6741350776711112,-0.6154904855186917,none,absent,False,0.8446201833905097,0,slowdown,0.16768422998635096,0.15659563039973393,0,0,4,,4,0,0.09400507336301948,0.006920431070568847,0.2288434483381762,0.07422958449134363,0.6771505666237029,0.9188497678818534,9.116751013739808e-07,2.1655623417342126e-07,4.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2014-01-01,2013-12-01,2014-01-01,2013-11-01,2013-12-01,2014-02-08,2014-02-01
2014-02-21,0,2014-02-21,slowdown,slowdown,official,0.43136373565815217,-0.3964960676534321,0,3,0,3,0.3030992339238876,labor_stress,0.6537300891026614,-0.29491318047511744,none,absent,True,0.8666564476849757,0,slowdown,0.11060163852369759,0.09747993677887107,0,0,4,,4,0,0.08823670828642584,0.0060973677317106845,0.20801393020359987,0.06362299164194475,0.7037484907707718,0.9302794393269205,8.707392023845334e-07,2.0129942405205058e-07,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2014-01-01,2013-12-01,2014-01-01,2013-11-01,2014-01-01,2014-02-15,2014-02-08
2014-02-28,0,2014-02-28,slowdown,slowdown,official,0.43129080428727173,-0.30353791356852977,0,3,0,3,0.3025911469716273,labor_stress,0.652523895738006,0.17159887710968225,none,absent,False,0.8272000668308819,0,slowdown,0.043431171649988914,0.026273062628189528,0,0,4,,4,0,0.10371730263043144,0.007968558073080338,0.24447326093959484,0.08241557997601374,0.651808556150793,0.9096156468068957,8.802791808359797e-07,2.1514401035380804e-07,6.0,0,7.0,0,8.0,0,6.0,0,0.0,1,2014-01-01,2013-12-01,2014-01-01,2013-11-01,2014-01-01,2014-02-22,2014-02-15
2014-03-07,0,2014-03-07,slowdown,slowdown,official,0.42155271813129147,-0.3662257099257622,0,3,0,3,0.328789762822705,labor_stress,0.6930110910582696,0.02408629672407702,none,absent,False,0.8294111194652426,0,slowdown,0.05241054248948403,0.03600379910580478,0,0,4,,4,0,0.09325524450440148,0.007533811183055138,0.23176824635549081,0.08152743283001408,0.6749756492859644,0.9109385522952567,8.598541432365424e-07,2.0369167411316673e-07,7.0,0,3.0,0,5.0,0,7.0,0,0.0,1,2014-02-01,2014-01-01,2014-01-01,2013-12-01,2014-01-01,2014-03-01,2014-02-22
2014-03-14,0,2014-03-14,slowdown,slowdown,official,0.4298337859055887,-0.4192026273584454,0,3,0,3,0.35840579405091194,labor_stress,0.7702745967370109,-0.10446423795286751,none,absent,True,0.8551515585602673,0,slowdown,0.07180627180151997,0.05940698993467522,0,0,4,,4,0,0.08365150853427082,0.0062735520841856445,0.21135104101792246,0.06928734631649132,0.7049965946832544,0.9244389048767586,8.557645523170547e-07,1.9672256446896425e-07,8.0,0,4.0,0,6.0,0,8.0,0,0.0,1,2014-02-01,2014-01-01,2014-01-01,2013-12-01,2014-01-01,2014-03-08,2014-03-01
2014-03-21,0,2014-03-21,slowdown,slowdown,official,0.45346314800324006,-0.27795516662864866,0,2,0,2,0.3629998362659295,labor_stress,0.8230352423890456,0.050923587436044804,none,absent,False,0.7293308578003789,0,slowdown,0.029237501630529374,0.016619810222046866,0,0,4,,4,0,0.10408793575114075,0.010618731319116614,0.29486428899064104,0.13002509405726803,0.6010468921170815,0.8593559518576469,8.831411367143777e-07,2.2276596842265482e-07,4.0,0,5.0,0,7.0,0,4.0,0,0.0,1,2014-02-01,2014-01-01,2014-02-01,2013-12-01,2014-02-01,2014-03-15,2014-03-08
2014-03-28,0,2014-03-28,slowdown,slowdown,official,0.45825129928095903,-0.14789611681470935,0,1,0,1,0.42187001705837757,labor_stress,0.9666124172234094,0.7063572160893374,none,absent,False,0.6011239451796346,0,slowdown,0.0,0.007988405578702484,0,0,4,,4,0,0.1287821364150975,0.015680475259526098,0.36830832766157584,0.19159766191560845,0.502908619051108,0.7927216070952431,9.168722186354963e-07,2.557296223300175e-07,5.0,0,6.0,0,3.0,0,5.0,0,0.0,1,2014-02-01,2014-02-01,2014-02-01,2014-01-01,2014-02-01,2014-03-22,2014-03-15
2014-04-04,0,2014-04-04,slowdown,slowdown,official,0.4581429546048457,-0.11852324284477875,0,1,0,1,0.4187801949006841,labor_stress,0.9593059791089628,0.6304348412658309,none,absent,False,0.48269139224863444,0,slowdown,0.0,0.006417370224323721,0,0,4,,4,0,0.13367993054998298,0.02060188332619233,0.38223335170785616,0.24835323839796705,0.48408580137302937,0.7310446306466015,9.163691314922917e-07,2.4762923901266774e-07,6.0,0,3.0,0,4.0,0,6.0,0,0.0,1,2014-03-01,2014-02-01,2014-02-01,2014-01-01,2014-02-01,2014-03-29,2014-03-22
2014-04-11,0,2014-04-11,slowdown,slowdown,official,0.46849281090354217,-0.05384915563021788,0,1,0,1,0.4303343539252514,labor_stress,1.008042755494004,0.9535564376161051,none,absent,False,0.3733293409641208,0,slowdown,0.0,0.0022429076208662856,0,0,4,,4,0,0.1418276049147743,0.024707213435466127,0.41396086935902365,0.3009815977759784,0.444210610713451,0.6743109387400992,9.150127510271457e-07,2.5004845624533145e-07,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2014-03-01,2014-02-01,2014-02-01,2014-01-01,2014-02-01,2014-04-05,2014-03-29
2014-04-18,0,2014-04-18,expansion,expansion,official,0.534832434928797,0.5501680626495313,0,0,1,0,0.41052870973443173,labor_stress,1.0978203471772172,1.2164251342411512,none,absent,True,0.8229337004922329,0,expansion,0.0,0.0,0,0,4,,4,0,0.1985095382801714,0.06600622551013244,0.6610862080785701,0.8889399260023654,0.14040333987080816,0.045053773896502884,9.137704503932144e-07,7.459099937974371e-08,4.0,0,5.0,0,6.0,0,4.0,0,0.0,1,2014-03-01,2014-02-01,2014-03-01,2014-01-01,2014-03-01,2014-04-12,2014-04-05
