as_of,future_observations,last_modelled_week,raw_phase,official_phase,phase_status,activity_level,activity_momentum,negative_level_domains,negative_momentum_domains,positive_momentum_domains,confirming_domains,concentration,dominant_domain,labor_stress_level,labor_stress_momentum,recession_alert,recession_alert_character,evidence_quality_high,phase_separation,confirmation_pending,filtered_winner,contraction_evidence,alert_evidence,slowdown_evidence,information_lag_weeks,weeks_since_any_new_observation,fresh_coincident_domains,stale_domains,carried_forward_domains,withheld,raw_recovery,filtered_recovery,raw_expansion,filtered_expansion,raw_slowdown,filtered_slowdown,raw_contraction,filtered_contraction,age_production,arrived_production,age_employment,arrived_employment,age_real_income,arrived_real_income,age_consumption,arrived_consumption,age_labor_stress,arrived_labor_stress,latest_observation_PAYEMS,latest_observation_W875RX1,latest_observation_INDPRO,latest_observation_CMRMTSPL,latest_observation_RRSFS,latest_observation_ICSA,latest_observation_CCSA,gate
2013-09-20,0,2013-09-20,expansion,expansion,official,0.5332062580671894,0.0751620069108084,0,1,0,1,0.4982104945945413,labor_stress,1.328244767762795,1.3055590687527472,none,absent,True,0.7468589503405596,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.15009423277836162,0.04767036209880955,0.5970907948295138,0.8495942508714809,0.25281403168875083,0.10273530053092132,9.407033737255845e-07,8.649878828551193e-08,4.0,0,6.0,0,7.0,0,4.0,0,0.0,1,2013-08-01,2013-07-01,2013-08-01,2013-06-01,2013-08-01,2013-09-14,2013-09-07,persist17w
2013-09-27,0,2013-09-27,expansion,expansion,official,0.5693446159822104,0.23270652675787282,0,0,0,0,0.5072704385378078,labor_stress,1.4440584651421782,1.5627426366037835,none,absent,True,0.7539922914438726,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.16496312181816258,0.05515282401560397,0.595421416604689,0.8494196889814242,0.23961450311913604,0.09542739753755153,9.58458012476544e-07,8.946542032048962e-08,5.0,0,7.0,0,4.0,0,5.0,0,0.0,1,2013-08-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-09-21,2013-09-14,persist17w
2013-10-04,0,2013-10-04,expansion,expansion,official,0.5747161181353829,0.21044400962414764,0,0,0,0,0.5106918258981453,labor_stress,1.4675141187182643,1.4542484346359332,none,absent,True,0.7561970645881104,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.16067928480086274,0.053654167628789676,0.5997812982982657,0.8512714038271818,0.23953845874703666,0.09507433923907133,9.581538349881465e-07,8.93049572138043e-08,6.0,0,8.0,0,5.0,0,6.0,0,0.0,1,2013-08-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-09-28,2013-09-21,persist17w
2013-10-11,0,2013-10-04,expansion,expansion,preliminary,0.5749353632601512,0.2111527315920906,0,0,0,0,0.5108784180588235,labor_stress,1.4686103443421055,1.457792044475648,none,absent,True,0.7561776319916118,0,expansion,0.0,0.0,0.0,1,1,3,employment,5,0,0.16071077612279835,0.05366654824016558,0.5997492479570742,0.8512554972215886,0.23953901776405653,0.09507786522997672,9.58156071056226e-07,8.930826923752661e-08,6.0,0,8.0,0,5.0,0,6.0,0,0.0,1,2013-08-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-10-05,2013-09-28,persist17w
2013-10-18,0,2013-10-04,expansion,expansion,preliminary,0.5749353632601512,0.2111527315920906,0,0,0,0,0.5108784180588235,labor_stress,1.4686103443421055,1.457792044475648,none,absent,True,0.7561776319916118,0,expansion,0.0,0.0,0.0,2,2,3,employment,5,0,0.16071077612279835,0.05366654824016558,0.5997492479570742,0.8512554972215886,0.23953901776405653,0.09507786522997672,9.58156071056226e-07,8.930826923752661e-08,6.0,0,8.0,0,5.0,0,6.0,0,0.0,1,2013-08-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-10-12,2013-10-05,persist17w
2013-10-25,0,2013-10-18,expansion,expansion,preliminary,0.47561987123927274,-0.1298527813543115,0,0,0,0,0.40592399661882306,labor_stress,0.965327595023878,-0.4201725697952971,none,absent,False,0.7751388834833405,0,expansion,0.0,0.09432848448525563,0.0,1,1,2,consumption|production,5,0,0.1334632222797885,0.04196401486957043,0.6274804876646398,0.8665873921046143,0.23905533383423644,0.09144850862127384,9.562213353369457e-07,8.440454130576846e-08,8.0,0,5.0,0,7.0,0,8.0,0,0.0,1,2013-09-01,2013-08-01,2013-08-01,2013-06-01,2013-08-01,2013-10-19,2013-10-12,persist17w
2013-11-01,0,2013-11-01,expansion,expansion,preliminary,0.43580000468676705,-0.17145618774981292,0,0,1,0,0.33126636957203437,labor_stress,0.7218294270603044,-1.2117100872247935,none,absent,False,0.7719492919841813,0,expansion,0.0,0.16390737966661514,0.0,0,0,3,real_income,4,0,0.14398211370448824,0.04646974206334257,0.6193307730998793,0.8627397325443094,0.2366861664509667,0.09079044056012806,9.467446658038668e-07,8.483222005276964e-08,6.0,0,7.0,0,9.0,0,6.0,0,0.0,1,2013-09-01,2013-08-01,2013-09-01,2013-06-01,2013-09-01,2013-10-26,2013-10-19,persist17w
2013-11-08,0,2013-11-08,expansion,expansion,official,0.47683809080600864,-0.057865634749186066,0,0,2,0,0.34314548792247124,labor_stress,0.8181241966482373,-1.264944976243499,none,absent,False,0.7606438933912723,0,expansion,0.0,0.151827313489771,0.0,0,0,4,,4,0,0.1638599274592226,0.055953438390521505,0.6019823202059343,0.8523451836335679,0.2341568157075804,0.09170129024229565,9.366272628303216e-07,8.773361486091353e-08,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2013-10-01,2013-09-01,2013-09-01,2013-06-01,2013-09-01,2013-11-02,2013-10-26,persist17w
2013-11-15,0,2013-11-15,expansion,expansion,official,0.4747363497109006,-0.21969198561012412,0,0,1,0,0.3607420972457975,labor_stress,0.8562869321676232,-1.5391677666647694,none,absent,False,0.7859588636831468,0,expansion,0.0,0.1574948918413974,0.0,0,0,4,,4,0,0.12593547529051177,0.03806653592076373,0.6373774115138557,0.8739461238510298,0.2366861664509667,0.08798726016788298,9.467446658038668e-07,8.006032350107269e-08,4.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2013-10-01,2013-09-01,2013-10-01,2013-06-01,2013-09-01,2013-11-09,2013-11-02,persist17w
2013-11-22,0,2013-11-22,expansion,expansion,official,0.49556343341324877,-0.21234815463685175,0,0,1,0,0.37130185630518514,labor_stress,0.9200181137165514,-1.6949096744590262,none,absent,False,0.7884479017118203,0,expansion,0.0,0.1519060920374909,0.0,0,0,4,,4,0,0.12272049644706388,0.036600952412480715,0.6405923903573036,0.8759234350802916,0.2366861664509667,0.08747553336847129,9.467446658038668e-07,7.91387562989408e-08,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2013-10-01,2013-09-01,2013-10-01,2013-08-01,2013-10-01,2013-11-16,2013-11-09,persist17w
2013-11-29,0,2013-11-29,expansion,expansion,official,0.515825589175354,-0.17103706999559137,0,0,1,0,0.39412356311773633,labor_stress,1.0164950957654808,-1.4904403919347777,none,absent,True,0.78875545411017,0,expansion,0.0,0.15,0.0,0,0,4,,4,0,0.12548582635500863,0.03681232708726118,0.6378270604493589,0.8759715244906734,0.23668616645096666,0.08721607038050336,9.467446658038666e-07,7.804156200038039e-08,6.0,0,7.0,0,8.0,0,6.0,0,0.0,1,2013-10-01,2013-09-01,2013-10-01,2013-08-01,2013-10-01,2013-11-23,2013-11-16,persist17w
2013-12-06,0,2013-12-06,expansion,expansion,official,0.5414877631459033,0.01727552970045846,0,0,0,0,0.42834223691531387,labor_stress,1.1597103986409294,-0.035915349451750934,none,absent,True,0.7813644178605214,0,expansion,0.0,0.007696146311089487,0.0,0,0,4,,4,0,0.14192326484056314,0.040669844184009964,0.6188702663750234,0.870347248025839,0.23920551196236553,0.08898283016531759,9.568220478494622e-07,7.762483331178372e-08,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2013-11-01,2013-10-01,2013-10-01,2013-09-01,2013-10-01,2013-11-30,2013-11-23,persist17w
2013-12-13,0,2013-12-13,expansion,expansion,official,0.527238406227801,0.11096513434132745,0,0,0,0,0.4035101361792204,labor_stress,1.0637302054794757,0.30953813769406585,none,absent,True,0.7646712658268244,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.1597056294358413,0.05001442257985467,0.6007722375391067,0.8573283795839794,0.2395211749403523,0.09265711375715503,9.580846997614092e-07,8.407901088939415e-08,8.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2013-11-01,2013-10-01,2013-10-01,2013-09-01,2013-10-01,2013-12-07,2013-11-30,persist17w
2013-12-20,0,2013-12-20,expansion,expansion,official,0.5278967521902158,0.2899224435525089,0,0,2,0,0.3266894905010701,labor_stress,0.8622916050509564,0.14868579239052024,none,absent,True,0.7569337744984505,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.1877132384726338,0.06502926256732301,0.5846239718227572,0.845952213294862,0.2276618790570928,0.08901843879641157,9.106475162283711e-07,8.534140338856074e-08,4.0,0,6.0,0,7.0,0,4.0,0,0.0,1,2013-11-01,2013-10-01,2013-11-01,2013-09-01,2013-11-01,2013-12-14,2013-12-07,persist17w
2013-12-27,0,2013-12-27,expansion,expansion,official,0.5105687596377667,0.25468061517384977,0,0,2,0,0.2956215639408258,labor_stress,0.7546756761172208,0.15184806773916065,none,absent,True,0.7550834173093437,0,expansion,0.0,0.0,0.0,0,0,4,,4,0,0.18839660913467363,0.0660972010332712,0.5839298871897544,0.8444930649810901,0.22767259298520007,0.08940964767174643,9.106903719408002e-07,8.631389233130857e-08,5.0,0,7.0,0,4.0,0,5.0,0,0.0,1,2013-11-01,2013-11-01,2013-11-01,2013-09-01,2013-11-01,2013-12-21,2013-12-14,persist17w
2014-01-03,0,2014-01-03,expansion,expansion,official,0.48233270509771664,0.1030876688403863,0,0,2,0,0.2543747213788153,labor_stress,0.6134662373556097,-0.6056632459556912,none,absent,False,0.761825295068791,0,expansion,0.0,0.12978498127621954,0.0,0,0,4,,4,0,0.17427218709062758,0.061339139243196866,0.5982757536944053,0.850243034763376,0.2274511494103694,0.08841773969458501,9.098045976414775e-07,8.629884216397398e-08,6.0,0,8.0,0,5.0,0,6.0,0,0.0,1,2013-11-01,2013-11-01,2013-11-01,2013-09-01,2013-11-01,2013-12-28,2013-12-21,persist17w
2014-01-10,0,2014-01-10,expansion,expansion,official,0.4936772461229242,0.058949103960201074,0,0,2,0,0.27756619390290493,labor_stress,0.6851405711140385,-0.5698376464254207,none,absent,False,0.7721026346742732,0,expansion,0.0,0.12210806709116158,0.0,0,0,4,,4,0,0.1639100154485928,0.05477287080311644,0.6088003847632975,0.8586648407063381,0.22728869063334725,0.08656220603206484,9.09154762533389e-07,8.245848066598649e-08,7.0,0,4.0,0,6.0,0,7.0,0,0.0,1,2013-12-01,2013-11-01,2013-11-01,2013-09-01,2013-11-01,2014-01-04,2013-12-28,persist17w
2014-01-17,0,2014-01-17,expansion,expansion,official,0.5117161490804337,0.016175045127999943,0,0,1,0,0.3143089258397321,labor_stress,0.8041847657615766,-0.3586069845021747,none,absent,True,0.7861985498836407,0,expansion,0.0,0.07684435382189458,0.0,0,0,4,,4,0,0.14303100545263384,0.04413272551339043,0.627427911744632,0.8710328732160639,0.2295401646420756,0.08483432333242323,9.181606585683024e-07,7.793812235525688e-08,4.0,0,5.0,0,7.0,0,4.0,0,0.0,1,2013-12-01,2013-11-01,2013-12-01,2013-09-01,2013-12-01,2014-01-11,2014-01-04,persist17w
2014-01-24,0,2014-01-24,expansion,expansion,official,0.5116576157443308,-0.04316002395660523,0,0,1,0,0.31423048317637364,labor_stress,0.8038920990810619,-0.6584740055242413,none,absent,True,0.7916198557881933,0,expansion,0.0,0.14110157261233744,0.0,0,0,4,,4,0,0.1337716752216962,0.04081876422200508,0.6369993551984428,0.8754005073120581,0.22922805266765028,0.08378065152386487,9.169122106706012e-07,7.694207201783774e-08,5.0,0,6.0,0,8.0,0,5.0,0,0.0,1,2013-12-01,2013-11-01,2013-12-01,2013-09-01,2013-12-01,2014-01-18,2014-01-11,persist17w
2014-01-31,0,2014-01-31,expansion,expansion,official,0.500875802122799,-0.09481544690230093,0,0,2,0,0.29587696082649106,labor_stress,0.7409880504181234,-1.2923188586826058,none,absent,False,0.8099861606788346,0,expansion,0.0,0.1502431067244822,0.0,0,0,4,,4,0,0.1228367129898038,0.03650929143285791,0.6573469251470304,0.8867383993060023,0.21981548260123537,0.07675223862716772,8.792619304049414e-07,7.063397220189716e-08,6.0,0,7.0,0,4.0,0,6.0,0,0.0,1,2013-12-01,2013-12-01,2013-12-01,2013-11-01,2013-12-01,2014-01-25,2014-01-18,persist17w
2014-02-07,0,2014-02-07,expansion,expansion,official,0.4937667053189161,-0.13330329231919152,0,1,2,1,0.2843660998746524,labor_stress,0.7020525611974847,-1.1246117020254167,none,absent,False,0.7847373357348351,0,expansion,0.0,0.15148566357987858,0.0,0,0,4,,4,0,0.12123221644096578,0.035102579451756606,0.6368778829886843,0.8748173410396033,0.241889000518255,0.09008000530476824,9.000520949516465e-07,7.420387187821291e-08,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2014-01-01,2013-12-01,2013-12-01,2013-11-01,2013-12-01,2014-02-01,2014-01-25,persist17w
2014-02-14,0,2014-02-14,expansion,expansion,official,0.44751376080585975,-0.36887002054374574,0,2,0,2,0.3012801557016542,labor_stress,0.6741350776711112,-0.6154904855186917,none,absent,False,0.7173143986835714,0,expansion,0.16768422998635096,0.15659563039973393,0.0,0,0,4,,4,0,0.09938541938701655,0.02706969814976283,0.6235054501157599,0.8451223044297717,0.2771081666427309,0.12780790574620024,9.638544926703684e-07,9.167426524623347e-08,4.0,0,5.0,0,6.0,0,8.0,0,0.0,1,2014-01-01,2013-12-01,2014-01-01,2013-11-01,2013-12-01,2014-02-08,2014-02-01,persist17w
2014-02-21,0,2014-02-21,expansion,expansion,official,0.43136373565815217,-0.3964960676534321,0,3,0,3,0.3030992339238876,labor_stress,0.6537300891026614,-0.29491318047511744,none,absent,True,0.3395534149957202,0,expansion,0.11060163852369759,0.09747993677887107,0.35294117647058826,0,0,4,,4,0,0.0930714372070979,0.027285116011830986,0.4629347618275306,0.6561340850284576,0.443992882516003,0.3165806700327374,9.184493684354473e-07,1.2892697404787625e-07,5.0,0,6.0,0,7.0,0,5.0,0,0.0,1,2014-01-01,2013-12-01,2014-01-01,2013-11-01,2014-01-01,2014-02-15,2014-02-08,persist17w
2014-02-28,0,2014-02-28,expansion,expansion,official,0.43129080428727173,-0.30353791356852977,0,3,0,3,0.3025911469716273,labor_stress,0.652523895738006,0.17159887710968225,none,absent,False,0.6581992495852603,0,expansion,0.043431171649988914,0.026273062628189528,0.0,0,0,4,,4,0,0.1115484782040103,0.03113950893679906,0.5985100211488897,0.8135298187553324,0.28994055390243423,0.15533056917007207,9.467446658038668e-07,1.0313779662849123e-07,6.0,0,7.0,0,8.0,0,6.0,0,0.0,1,2014-01-01,2013-12-01,2014-01-01,2013-11-01,2014-01-01,2014-02-22,2014-02-15,persist17w
2014-03-07,0,2014-03-07,expansion,expansion,official,0.42155271813129147,-0.3662257099257622,0,3,0,3,0.328789762822705,labor_stress,0.6930110910582696,0.02408629672407702,none,absent,False,0.6601436605390807,0,expansion,0.05241054248948403,0.03600379910580478,0.0,0,0,4,,4,0,0.09820533852031332,0.02675784866122132,0.6244855523332331,0.8166928543804323,0.27730820365027853,0.15654919384135152,9.054961751845828e-07,1.0311699490009118e-07,7.0,0,3.0,0,5.0,0,7.0,0,0.0,1,2014-02-01,2014-01-01,2014-01-01,2013-12-01,2014-01-01,2014-03-01,2014-02-22,persist17w
2014-03-14,0,2014-03-14,expansion,expansion,official,0.4298337859055887,-0.4192026273584454,0,3,0,3,0.35840579405091194,labor_stress,0.7702745967370109,-0.10446423795286751,none,absent,True,0.6319554081386128,0,expansion,0.07180627180151997,0.05940698993467522,0.11764705882352941,0,0,4,,4,0,0.0878557913235685,0.024839323894650392,0.5821665040151455,0.8035579943100135,0.32997680588643735,0.17160258617140065,8.987748487485126e-07,9.562393548634877e-08,8.0,0,4.0,0,6.0,0,8.0,0,0.0,1,2014-02-01,2014-01-01,2014-01-01,2013-12-01,2014-01-01,2014-03-08,2014-03-01,persist17w
2014-03-21,0,2014-03-21,expansion,expansion,official,0.45346314800324006,-0.27795516662864866,0,2,0,2,0.3629998362659295,labor_stress,0.8230352423890456,0.050923587436044804,none,absent,False,0.7755599492684578,0,expansion,0.029237501630529374,0.016619810222046866,0.0,0,0,4,,4,0,0.10408793575114075,0.029030016071895252,0.642008104302339,0.8732649299276152,0.2539030768053836,0.09770498065915736,8.831411367143777e-07,7.334133225364695e-08,4.0,0,5.0,0,7.0,0,4.0,0,0.0,1,2014-02-01,2014-01-01,2014-02-01,2013-12-01,2014-02-01,2014-03-15,2014-03-08,persist17w
2014-03-28,0,2014-03-28,expansion,expansion,official,0.45825129928095903,-0.14789611681470935,0,1,0,1,0.42187001705837757,labor_stress,0.9666124172234094,0.7063572160893374,none,absent,False,0.7807438362886405,0,expansion,0.0,0.007988405578702484,0.0,0,0,4,,4,0,0.12651805859298945,0.036277853290281326,0.6314036774189666,0.8722329542374777,0.2420773632350644,0.09148911794883718,9.007529794793094e-07,7.452340385994919e-08,5.0,0,6.0,0,3.0,0,5.0,0,0.0,1,2014-02-01,2014-02-01,2014-02-01,2014-01-01,2014-02-01,2014-03-22,2014-03-15,persist17w
2014-04-04,0,2014-04-04,expansion,expansion,official,0.4581429546048457,-0.11852324284477875,0,1,0,1,0.4187801949006841,labor_stress,0.9593059791089628,0.6304348412658309,none,absent,False,0.7765964053083475,0,expansion,0.0,0.006417370224323721,0.0,0,0,4,,4,0,0.13149817764310132,0.03931758424659147,0.6262460895345947,0.8686393721985485,0.2422548314089778,0.09204296689020099,9.014133261729406e-07,7.666465910877428e-08,6.0,0,3.0,0,4.0,0,6.0,0,0.0,1,2014-03-01,2014-02-01,2014-02-01,2014-01-01,2014-02-01,2014-03-29,2014-03-22,persist17w
2014-04-11,0,2014-04-11,expansion,expansion,official,0.46849281090354217,-0.05384915563021788,0,1,0,1,0.4303343539252514,labor_stress,1.008042755494004,0.9535564376161051,none,absent,False,0.7716465826853868,0,expansion,0.0,0.0022429076208662856,0.0,0,0,4,,4,0,0.13989220343227857,0.04240805613810195,0.6175529387733909,0.8646192244454677,0.2425539552679854,0.09297264176008094,9.025263451832015e-07,7.765634941545236e-08,7.0,0,4.0,0,5.0,0,7.0,0,0.0,1,2014-03-01,2014-02-01,2014-02-01,2014-01-01,2014-02-01,2014-04-05,2014-03-29,persist17w
